resource_condition,participant_gender,perceived_precariousness,position_evaluation,anticipated_acceptance,anticipated_influence
No social resources,female,6.080722495805167,3.2608514837294065,1.897475491490674,1.7209890870735176
No social resources,female,3.792044388478427,3.4841791328755085,3.783564971954112,1.0321153924026123
No social resources,male,6.311356354056499,2.586532738690711,3.2536009690570507,3.798858449760957
No social resources,male,5.381972800065844,4.873927744812205,2.7225486684900746,3.7693251129666923
No financial resources,female,5.034858183428146,2.4822434483642053,3.9572990901833016,2.3801909971350614
No financial resources,male,3.64971023279925,2.967756246634946,4.3845736890552525,4.654522145609803
No financial resources,male,5.399674148377739,1.542520856546738,5.406366063314055,6.406416163233413
No social resources,female,3.6748237517212745,4.773417676682023,3.6494760354166775,3.74324145459765
Social and financial resources,male,4.39551651650966,2.7647051929187922,5.054514110172915,2.180751564144558
Social and financial resources,male,5.369153977758283,1.2574218435136975,3.4797471135892106,3.9356783357288405
No social resources,male,5.194336314426558,1.261010655536431,3.914055151207717,4.876023109221558
No social resources,female,4.18624323176624,6.108707675425505,2.9361362760596292,4.409955799977926
No financial resources,female,4.141493908133748,2.8206381448092515,4.8664862385281555,2.4382731004232774
No financial resources,male,5.239177451758702,4.821497016137199,4.427136333956546,2.9990299246758414
No financial resources,female,6.622021935991292,5.604969747113836,2.470930840421086,2.8831484712601876
Social and financial resources,female,4.792986536457818,3.0947823640989514,3.826456337026091,5.836989712210257
Social and financial resources,female,4.30755778322571,3.666044262235018,3.7392263987011374,2.309410132124766
No social resources,male,4.5961893108788185,1.4485745629066111,4.514145907330857,4.476933687671623
No social resources,male,5.320456442249164,1.913148512425016,4.409434317065537,1.9766698790334392
Social and financial resources,male,3.073312948070693,4.440574076011697,3.7662791341043826,1.7956204048407818
No social resources,male,6.06248536880789,3.241571982184021,3.4968843906450258,1.7068938698770841
Social and financial resources,male,3.9404699748807572,4.1646078810533504,3.3435537033367724,5.937852757635767
No social resources,male,5.3438111228222525,6.069221444785411,4.445725571208715,2.6878297622861043
No social resources,male,5.425013006317642,3.3317737117443413,5.244426332327053,5.6821092136605005
No financial resources,female,5.549423228668435,3.220046504114558,5.014394554270015,4.950829207311425
Social and financial resources,male,5.810167161205186,3.5964032915788096,3.7289882564751258,5.077390615680641
No financial resources,female,4.011789543748058,4.007585703329902,2.5961852998100383,2.3423574520760027
No social resources,female,4.724552874871746,2.4283841254322613,4.944474480643793,1.3996679983786562
No financial resources,male,6.649013539375178,6.520147039140282,2.5536885286507514,1.328636212754065
No financial resources,female,5.241124172199,3.967503363498863,2.8037665724592524,2.7226533645351183
Social and financial resources,female,4.0728416298154455,3.69318268080264,4.357406758653443,3.01210065248536
Social and financial resources,male,6.308765264250107,3.8402556344798295,3.5352371154632447,4.759980777527987
No financial resources,male,4.3718312571523414,5.756929996179867,3.1205912286171404,2.5682010228691454
No financial resources,female,6.54538761272971,2.8892803225850705,3.731393563885555,3.7396624879261835
No financial resources,male,6.377742811901232,2.463974526473693,5.085042661389898,4.877035603227666
No financial resources,female,4.078107112058146,1.5415448032390011,3.610145349516491,4.265519819198732
No social resources,male,6.019851845469446,2.6078231263931393,1.227330202695474,2.3335711443617346
No social resources,female,5.119429026315763,4.54014181668339,5.34182772361483,6.869870957725485
No financial resources,female,4.075375435806389,1.6138236928386471,5.6497590637712065,1.003784481796134
No financial resources,male,6.371537368002993,4.287214206901514,3.9772967705868814,2.346893839211482
Social and financial resources,female,4.8001879209150875,6.285998095083519,3.9090089423423477,4.256051725394797
Social and financial resources,male,4.7490872848687955,2.084660636506946,4.243553279724637,1.1542405995017715
No social resources,female,4.987522379559543,1.6350130407700458,5.310311155937535,1.232880649976662
No social resources,female,5.186785002679025,1.3452140399883519,3.06107259615636,4.136870327305397
No financial resources,female,4.8888821244461536,4.971421426367277,4.789565628997934,3.9708376203955087
No financial resources,female,5.151883861093357,3.687168993205308,3.2731385172595973,2.5403734888447054
No financial resources,female,3.4846578587848716,3.2183610190706986,4.193816443832038,5.96578264314323
No financial resources,female,4.303268614726912,2.786299276637742,4.994280081089122,4.434939423732507
No financial resources,male,6.8703725698215905,2.4307397530228183,2.888593703506092,4.308863217208463
Social and financial resources,female,4.775608286766385,3.768370487743511,5.252589132724547,2.3555582737475906
No financial resources,female,4.236114866315707,4.898332203332016,3.8750257302078475,3.581423802401797
No social resources,female,5.2106271284365135,1.5792785233680449,5.243067031940283,6.759518195594577
No financial resources,male,3.0113897633948428,6.242655369460109,3.3230664473220615,6.87119221973165
Social and financial resources,female,4.808201980721067,1.932643025229439,2.626633577829076,3.4535831417065914
No financial resources,female,3.224266082931976,1.5165214954631172,2.3537840348713504,4.64399819920966
No financial resources,male,6.3010136627878515,5.193619267931634,6.024107657366295,2.8684441227412814
No financial resources,female,5.8584602783370165,3.4460707582182097,3.9604112166654666,5.314491795871034
No social resources,female,4.737152050183251,4.027674442868941,5.01296074045757,3.3815740486856383
No social resources,female,4.940276298376068,2.2106348191291785,3.789194683059733,6.923249222435258
No social resources,female,4.787792679399301,4.342987617222421,3.97335468706979,5.141088879482238
Social and financial resources,female,3.8136633216822795,3.3038699265538134,3.100310948835864,3.605538480121891
No social resources,male,5.933099319863484,6.266813925473627,4.701363121807324,3.831981486542616
No financial resources,male,5.507517961292346,5.575384959176677,3.491836593982012,2.977745150838465
No social resources,female,4.121983652684226,3.5581479214582203,3.032234896001249,1.4278728328805301
No social resources,female,3.26852692344537,1.459260321779239,2.1759262670122017,3.4876313780845356
No social resources,female,5.198978854470359,1.14811060820404,2.9083185467928554,3.656676479635783
Social and financial resources,female,5.096436880908648,3.397599821821714,3.077017172760624,2.7142869471748177
Social and financial resources,male,3.586958491708998,3.907325919062764,4.048917907852692,4.970851471475553
No social resources,female,4.773357760870755,3.0073166143743717,4.878931615774948,2.810964498788887
No social resources,male,6.3444256462233,5.334225904198357,2.806825178387899,3.7315296933614572
No financial resources,male,6.572146618960342,1.6324136616381935,5.239174872496249,3.5699935856036755
No social resources,female,4.9559590624377385,6.52733744842522,4.18949979900201,4.928562531511144
No financial resources,female,4.183480159840907,2.3656505378582766,2.9528993368507557,2.123786189022707
No financial resources,female,4.751083447037423,1.5067460507300614,5.291404663756997,3.415017204807657
No financial resources,female,4.712257876097663,2.872360065368192,3.337012601449917,3.765438402585587
No social resources,female,3.9258911803623944,1.7188184993296307,2.9701529943164404,3.5655729965116194
No financial resources,male,6.847834307443425,3.6887210159510757,4.731693400459475,3.7707780478134216
No social resources,female,5.233043434174984,2.2575792855788293,3.2639559425595306,4.497567580015591
No financial resources,male,3.835357094726388,4.3463925934371614,3.4925646966806494,3.0252480155137533
Social and financial resources,female,4.396928200834213,1.8230794438091098,4.046438132456658,5.353249363819464
No social resources,male,6.57163856054103,1.8566332405974826,3.57397884071099,5.987806431956413
No social resources,female,4.681453572480484,2.3408128322333726,2.9863207883873506,1.7913981239242074
Social and financial resources,female,5.640435380169824,4.650807219047521,3.3780893873112254,2.346685947719816
No financial resources,male,6.437411948713227,3.038896649569975,3.6178027989271677,3.607257210695534
No financial resources,female,6.928437034573664,1.371916371256632,4.197409768773285,2.9010458816569393
Social and financial resources,male,5.058734747322507,1.6676933417616309,4.869702998178649,3.543271625671701
No social resources,male,4.960324557418007,3.2707254348835537,5.491619767378535,4.03958444605443
No social resources,male,4.105388916382099,6.506057782873732,4.965936311988388,2.433719616411352
No financial resources,male,4.628390975857684,4.853397564237138,2.864150560909318,4.742149677353357
Social and financial resources,female,5.408423264102274,3.5226588519803643,4.382758159175855,2.0498759862827134
No financial resources,female,6.594531784193077,1.4413528243113247,4.495390490280535,4.557804592331692
No social resources,female,4.862189647791122,3.2034754125967533,2.165746788512395,2.627208429311507
No social resources,female,6.208379133490169,2.682333800491001,5.400738884876558,3.349334328105004
No social resources,male,5.831696812880309,4.186056688323615,3.9461491970562497,4.676862721501255
No social resources,male,5.914242918743783,3.4014424022699328,3.378547366439755,3.5550861889982697
No social resources,male,6.540378378020287,3.4046489237185957,5.060529932490913,2.9668675962570257
No financial resources,female,2.207605813357297,3.5337139934394397,3.2607504110538073,2.5150143092830524
Social and financial resources,female,4.190486587603662,3.1251192744589473,4.810448160996046,2.3955580644724384
No social resources,male,4.975290660753194,1.5046156924800695,4.375561652848579,2.5220961306134098
No financial resources,male,5.700244637141801,5.810919358071928,3.8097049638397524,3.9460541917012706
